,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,deepseek_r1_distill_llama_70b,deepseek_r1_distill_llama_8b,448.0,0.26316964285714284,0.2380952380924107,78.41666666562,11.233333334599997,0.019766336054608008,0.3081682319436807,0.017015850125729894,0.00998826710576848,0.01973080422277507,0.8263397199975132,gpqa_cot
1,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_14b,448.0,0.26316964285714284,0.28632305194709823,72.44545454422,-10.372727272299997,0.018998860626866045,0.2887842804141049,0.016501033963558565,0.009352859205767476,0.01896734291326602,0.8582432949139832,gpqa_cot
2,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_32b,448.0,0.26316964285714284,0.3145089285714286,70.58,-23.0,0.0187526571246502,0.005582667351023373,0.016399795256001687,0.008765018892454577,0.018595129486611836,0.8813070510953723,gpqa_cot
3,deepseek_r1_distill_llama_70b,deepseek_r1_distill_qwen_7b,448.0,0.26316964285714284,0.24350649350513393,77.49999999879999,8.809090909700004,0.019650465247235155,0.36203179773966154,0.016780649791345848,0.010182708016204245,0.019628493318720762,0.8208745453194112,gpqa_cot
4,deepseek_r1_distill_llama_70b,deepseek_v2_lite_chat,448.0,0.26316964285714284,0.24472402596272325,155.99090908872,8.263636368700006,0.02787864299951952,0.5206333734262375,0.020164441520829617,0.01923160335528676,0.027865018741462105,0.17370552664081315,gpqa_cot
5,deepseek_r1_distill_llama_70b,google_codegemma_1.1_7b_it,448.0,0.26316964285714284,0.2807348901053571,167.25384615296,-7.86923076719998,0.028867557715149716,0.5360050623796352,0.019988380412750792,0.020811339126031926,0.028855626621918075,0.11001013012875353,gpqa_cot
6,deepseek_r1_distill_llama_70b,google_gemma_2_9b_it,448.0,0.26316964285714284,0.3065476190482143,138.9499999999,-19.433333333599997,0.026311842543524314,0.10545402577641196,0.01774643260417778,0.019317791770564124,0.026231907080223868,0.37065173403839025,gpqa_cot
7,deepseek_r1_distill_llama_70b,google_gemma_3_1b_it,448.0,0.26316964285714284,0.2455357142854911,162.26666666648,7.900000000099993,0.028433913861479976,0.5824757301133331,0.01998228503899287,0.020211423629848676,0.028421705798997422,0.09406947299547612,gpqa_cot
8,deepseek_r1_distill_llama_70b,google_gemma_3_4b_it,448.0,0.26316964285714284,0.3044299450506696,155.85384615222,-18.484615382699985,0.027866392386857376,0.147997631023415,0.01885442151081189,0.020426614652612796,0.02779812577627675,0.24371002709140205,gpqa_cot
9,deepseek_r1_distill_llama_70b,google_gemma_7b_it,448.0,0.26316964285714284,0.26711309523794646,149.1666666662,-1.7666666666000026,0.027262010357935424,0.869922971028641,0.01789979714720943,0.020561608867025877,0.027261373720188862,0.23274285232098346,gpqa_cot
10,deepseek_r1_distill_llama_70b,llama-3.1-8B-instruct,448.0,0.26316964285714284,0.3169642857142857,151.1,-24.099999999999994,0.027438111598873653,0.05044785478187963,0.010951157653603643,0.025029234850342367,0.027320147348571796,0.21820199706952823,gpqa_cot
11,deepseek_r1_distill_llama_70b,llama-3.2-3B-instruct,448.0,0.26316964285714284,0.296875,148.9,-15.099999999999994,0.027237631179967144,0.2174455477829043,0.010951157653603643,0.024888247628013865,0.027191041244266818,0.20876020139434134,gpqa_cot
12,deepseek_r1_distill_llama_70b,mistralai_mathstral_7b_v0.1,448.0,0.26316964285714284,0.3084415584334822,152.68181817904002,-20.281818178199998,0.027581358136621097,0.12300910631534787,0.020630769414925733,0.01818042325650353,0.027498298791697087,0.3308576035123175,gpqa_cot
13,deepseek_r1_distill_llama_70b,mistralai_ministral_8b_instruct_2410,448.0,0.26316964285714284,0.3082217261883929,158.49999999983999,-20.18333333240001,0.02810196051787459,0.13038570384790601,0.0208491715411496,0.018721689893967552,0.028021235276806934,0.275157886897903,gpqa_cot
14,deepseek_r1_distill_llama_70b,mistralai_mistral_7b_instruct_v0.1,448.0,0.26316964285714284,0.2518262986888393,162.77272727055998,5.081818187400003,0.028478217730000727,0.8137534121779041,0.020892569785785034,0.01934482359056155,0.02847317460354297,0.11828636311293762,gpqa_cot
15,deepseek_r1_distill_llama_70b,mistralai_mistral_7b_instruct_v0.2,448.0,0.26316964285714284,0.2408685064854911,146.3545454526,9.990909094500012,0.027003813108820305,0.45648223496512585,0.019251381267934478,0.018907144317388318,0.02698325011858149,0.25429272088319227,gpqa_cot
16,deepseek_r1_distill_llama_70b,mistralai_mistral_7b_instruct_v0.3,448.0,0.26316964285714284,0.27374188310959824,152.80909090712,-4.736363633100012,0.027592851395933753,0.8078463096035285,0.019430220761352077,0.019585261746083226,0.027588330078086788,0.2392510508826972,gpqa_cot
17,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x22b_instruct_v0.1,448.0,0.26316964285714284,0.32224025973392856,139.06363636129998,-26.46363636080001,0.026322599545971163,0.02707352909398976,0.019645194380698793,0.01729615229478352,0.026174234400642635,0.44679333237989205,gpqa_cot
18,deepseek_r1_distill_llama_70b,mistralai_mixtral_8x7b_instruct_v0.1,448.0,0.26316964285714284,0.29768668830625,139.62727272538,-15.46363636120001,0.026375889434744604,0.23493150329059798,0.01955906740973818,0.017620187046322372,0.026325427052301904,0.4085846713893605,gpqa_cot
19,deepseek_r1_distill_llama_70b,qwen1.5-14b-chat,448.0,0.26316964285714284,0.28632305194263397,154.15454545272001,-10.372727270300004,0.027714060040840382,0.3754568881731793,0.018945218598051344,0.020197802065822862,0.027692463162711057,0.23419076962292049,gpqa_cot
20,deepseek_r1_distill_llama_70b,qwen1.5-32b-chat,448.0,0.26316964285714284,0.3252840909026786,147.08181817962,-27.827272724399997,0.02707082434927239,0.02060514817917786,0.01946832977284654,0.018579601794456384,0.0269112888391632,0.36934644980347586,gpqa_cot
